stableId,id,sourceType,questionScope,sectionIds,entryId,level,displayLevel,prompt,correctAnswer,distractorB,distractorBFeedback,distractorC,distractorCFeedback,distractorD,distractorDFeedback,visibleCorrectExplanation,visibleConnection,visibleTakeaway,qualityProfile,sourceUrl
L300_theres-a-draft-in-here__274,question.theres-a-draft-in-here.300.008,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,Which idea carries the same logic as Revision as thinking?,Unfinished masterpieces,Premature polish,That answer changes the point: Unfinished masterpieces.,Educational draft culture,That answer changes the point: Unfinished masterpieces.,Draft vs final version,That answer changes the point: Unfinished masterpieces.,Correct: Unfinished masterpieces.,"The question starts from a concrete detail in Revision as thinking: Writers and artists often understand their work better during revision. It is really asking which answer handles a similar pressure. Unfinished masterpieces is the best connection because it lets absence become part of value: what is missing invites myth, speculation, and ownership by the audience. Both ideas ask alpacas to notice that Revision is where creators often discover what they were trying to make. Correction is only one small part of it.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_theres-a-draft-in-here_1_368,question.theres-a-draft-in-here.300.001,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,Why must the actual artwork images be used in the creative process?,The visible differences between real versions are the content,Any similar image can explain the same idea well,That answer changes the point: The visible differences between real versions are the content.,Generated art is usually more historically accurate,That answer changes the point: The visible differences between real versions are the content.,The titles matter more than the visual comparison,That answer changes the point: The visible differences between real versions are the content.,Correct: The visible differences between real versions are the content.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_theres-a-draft-in-here_2_369,question.theres-a-draft-in-here.300.002,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,Why is Strawberry Fields Forever useful for studying drafts?,It lets listeners hear a raw demo beside a famous final version,It is famous because it never changed after the first demo,That answer changes the point: It lets listeners hear a raw demo beside a famous final version.,It proves home recordings are always better than studio work,That answer changes the point: It lets listeners hear a raw demo beside a famous final version.,It shows that demos are usually unrelated to final songs,That answer changes the point: It lets listeners hear a raw demo beside a famous final version.,Correct: It lets listeners hear a raw demo beside a famous final version.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_theres-a-draft-in-here_3_370,question.theres-a-draft-in-here.300.003,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,Why was First to Dance not used in Pocahontas?,"The story and tone shifted, so the song no longer fit",The melody was moved unchanged into Aladdin,"That answer changes the point: The story and tone shifted, so the song no longer fit.",The song was rejected because animation was finished,"That answer changes the point: The story and tone shifted, so the song no longer fit.",The final film had no room for music at all,"That answer changes the point: The story and tone shifted, so the song no longer fit.","Correct: The story and tone shifted, so the song no longer fit.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
question.theres-a-draft-in-here.300.009,question.theres-a-draft-in-here.300.009,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,A debater memorizes one perfect speech but freezes when the opposing team makes an unexpected argument. Which change best treats rehearsal as revision?,Role-play several plausible rebuttals and use feedback to adjust the argument,Repeat the same speech faster until no pause remains,Speed would polish the fixed routine without solving its failure to transfer when the debate changes.,Imagine winning without practising any reply,"This rehearses a desired outcome, not the process needed to listen, choose, and reply.",Add more facts without testing how they connect,More information does not fix the inability to select and connect an argument under pressure.,Rehearsal becomes revision when feedback changes the next attempt. Varied rebuttals test whether the debater understands the argument well enough to adapt it.,The debater’s speech is an action draft. Role-play exposes a weak assumption just as comparing an artwork or demo exposes a creative choice.,Practice shows progress when variation and feedback improve the next attempt.,wsc-evidence-v1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8500882/
question.theres-a-draft-in-here.300.010,question.theres-a-draft-in-here.300.010,section.guideQuestions,Section Journey,theres-a-draft-in-here,,3,300,"One 2025 trial found that twenty minutes of motor imagery improved force steadiness, while another found no improvement in five walking tasks after four weeks. What is the best conclusion?","Mental rehearsal is task- and population-dependent, and success in one outcome does not guarantee broad transfer",Twenty minutes of rehearsal is always better than four weeks,"The studies did not compare two doses of the same task in the same population, so their durations cannot be ranked directly.",The walking result proves that mental rehearsal never works,"A null result for five walking tasks cannot cancel benefits found for every other task, outcome, or population.",Improved imagery clarity guarantees improved physical performance,"The walking trial improved visual clarity for imagined non-walking tasks without improving the tested walking performance, so clarity did not guarantee transfer.","The studies used different participants, tasks, measures, and baselines. They demonstrate task specificity, so duration cannot be isolated as the explanation for the different outcomes.","The two studies turn scientific evidence into a version comparison: the important change is the task and test, not simply how polished the rehearsal feels.","Match a practice claim to the exact task, population, measure, and transfer test that support it.",wsc-evidence-v1,https://pubmed.ncbi.nlm.nih.gov/40684972/
L100_were-all-in-this-to-get-there_1_096,question.were-all-in-this-to-get-there.100.001,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.001,1,100,Which project is a famous long-running basilica in Barcelona?,La Sagrada Familia,Berlin Brandenburg Airport,That answer changes the point: La Sagrada Familia.,Ryugyong Hotel,That answer changes the point: La Sagrada Familia.,Crazy Horse Memorial,That answer changes the point: La Sagrada Familia.,La Sagrada Familia.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_2_076,question.were-all-in-this-to-get-there.100.002,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.002,1,100,What is the simplest purpose of project management?,Coordinating work so a goal can be completed,Replacing workers with charts and software,That answer changes the point: Coordinating work so a goal can be completed.,Making every project larger than necessary,That answer changes the point: Coordinating work so a goal can be completed.,Avoiding schedules until the end,That answer changes the point: Coordinating work so a goal can be completed.,Coordinating work so a goal can be completed.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_3_027,question.were-all-in-this-to-get-there.100.003,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.003,1,100,What does a Gantt chart mainly show?,Tasks arranged across time,Only the final budget,That answer changes the point: Tasks arranged across time.,A team popularity ranking,That answer changes the point: Tasks arranged across time.,"A schedule view, not a feeling chart",That answer changes the point: Tasks arranged across time.,Tasks arranged across time.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_4_070,question.were-all-in-this-to-get-there.100.004,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.004,1,100,What three parts does the Iron Triangle connect?,"Scope, time, and cost","Speed, fame, and creativity","That answer changes the point: Scope, time, and cost.","People, profit, and mood","That answer changes the point: Scope, time, and cost.","Budget, weather, and luck","That answer changes the point: Scope, time, and cost.","Scope, time, and cost.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_5_102,question.were-all-in-this-to-get-there.100.005,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.005,1,100,What is one major difference between waterfall and agile approaches?,"Waterfall follows a sequence, while agile expects change","Agile rejects teamwork, while waterfall requires it","That answer changes the point: Waterfall follows a sequence, while agile expects change.",Waterfall is always faster than every agile method,"That answer changes the point: Waterfall follows a sequence, while agile expects change.",Agile is used only outside technology,"That answer changes the point: Waterfall follows a sequence, while agile expects change.","Waterfall follows a sequence, while agile expects change.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_6_023,question.were-all-in-this-to-get-there.100.006,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.006,1,100,What was Taylorism trying to find?,The one best way to perform a task efficiently,The most creative way to avoid routine,That answer changes the point: The one best way to perform a task efficiently.,The slowest safe method for factories,That answer changes the point: The one best way to perform a task efficiently.,The fairest possible leisure schedule,That answer changes the point: The one best way to perform a task efficiently.,The one best way to perform a task efficiently.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_7_034,question.were-all-in-this-to-get-there.100.007,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.007,1,100,What does the Hawthorne Effect suggest?,People may change behavior when observed,Workers always become slower in teams,That answer changes the point: People may change behavior when observed.,Deadlines make every project simple,That answer changes the point: People may change behavior when observed.,All management problems come from laziness,That answer changes the point: People may change behavior when observed.,People may change behavior when observed.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_were-all-in-this-to-get-there_8_060,question.were-all-in-this-to-get-there.100.008,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.008,1,100,What does the Pareto principle usually claim?,A small share of causes can produce many outcomes,All work produces equal results,That answer changes the point: A small share of causes can produce many outcomes.,The last task always matters most,That answer changes the point: A small share of causes can produce many outcomes.,Hard work never changes results,That answer changes the point: A small share of causes can produce many outcomes.,A small share of causes can produce many outcomes.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_1_162,question.were-all-in-this-to-get-there.200.001,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.001,2,200,What do delayed megaprojects often have in common?,"They face layers of technical, political, financial, or symbolic pressure",They are delayed only because workers refuse to finish them,"That answer changes the point: They face layers of technical, political, financial, or symbolic pressure.",They all fail because architecture is impossible to manage,"That answer changes the point: They face layers of technical, political, financial, or symbolic pressure.",They are always cheaper when the schedule stretches,"That answer changes the point: They face layers of technical, political, financial, or symbolic pressure.","They face layers of technical, political, financial, or symbolic pressure.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_2_201,question.were-all-in-this-to-get-there.200.002,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.002,2,200,Why can ancient monuments count as project-management examples?,"They required labor, resources, timing, authority, and logistics",They were built using modern project software,"That answer changes the point: They required labor, resources, timing, authority, and logistics.",They avoided planning by using only tradition,"That answer changes the point: They required labor, resources, timing, authority, and logistics.",They were small enough for one person to manage,"That answer changes the point: They required labor, resources, timing, authority, and logistics.","They required labor, resources, timing, authority, and logistics.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_3_146,question.were-all-in-this-to-get-there.200.003,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.003,2,200,What is one useful feature of a Gantt chart?,It shows tasks that overlap or depend on earlier work,It removes all uncertainty from construction,That answer changes the point: It shows tasks that overlap or depend on earlier work.,It proves which worker is most valuable,That answer changes the point: It shows tasks that overlap or depend on earlier work.,It replaces the need for communication,That answer changes the point: It shows tasks that overlap or depend on earlier work.,It shows tasks that overlap or depend on earlier work.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_4_109,question.were-all-in-this-to-get-there.200.004,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.004,2,200,What is a dependency in a project?,A task that must wait for another task,A risk that has already happened,That answer changes the point: A task that must wait for another task.,A worker who refuses to cooperate,That answer changes the point: A task that must wait for another task.,A budget item with no deadline,That answer changes the point: A task that must wait for another task.,A task that must wait for another task.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_5_119,question.were-all-in-this-to-get-there.200.005,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.005,2,200,Why can a company pivot be a strength?,It can respond to evidence that the first plan is not working,It proves the original team had no useful idea,That answer changes the point: It can respond to evidence that the first plan is not working.,It removes all risk from the business model,That answer changes the point: It can respond to evidence that the first plan is not working.,It means planning never matters again,That answer changes the point: It can respond to evidence that the first plan is not working.,It can respond to evidence that the first plan is not working.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_6_116,question.were-all-in-this-to-get-there.200.006,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.006,2,200,What does an assembly line mainly do?,It divides production into repeated stages,It lets every worker design a whole product alone,That answer changes the point: It divides production into repeated stages.,It removes all need for timing and sequence,That answer changes the point: It divides production into repeated stages.,It turns a factory into a voting system,That answer changes the point: It divides production into repeated stages.,It divides production into repeated stages.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_7_131,question.were-all-in-this-to-get-there.200.007,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.007,2,200,What is the warning in Hofstadter’s Law?,Tasks often take longer than expected,Estimates become perfect with practice,That answer changes the point: Tasks often take longer than expected.,Every project speeds up near the end,That answer changes the point: Tasks often take longer than expected.,Delays happen only without managers,That answer changes the point: Tasks often take longer than expected.,Tasks often take longer than expected.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_were-all-in-this-to-get-there_8_141,question.were-all-in-this-to-get-there.200.008,entry.quizQuestions,Raw Content,were-all-in-this-to-get-there,raw.were-all-in-this-to-get-there.008,2,200,How can 80/20 thinking help a project team?,It can focus attention on the work with the highest impact,It proves most preparation can be skipped safely,That answer changes the point: It can focus attention on the work with the highest impact.,It makes every low-value task disappear by itself,That answer changes the point: It can focus attention on the work with the highest impact.,It replaces practice with a simple percentage rule,That answer changes the point: It can focus attention on the work with the highest impact.,It can focus attention on the work with the highest impact.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there__275,question.were-all-in-this-to-get-there.300.009,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Start with this detail: Individual incentives may not align with group goals. Which idea gives the best comparison?,Project dependencies,Shared destinations and unequal benefits,That answer changes the point: Project dependencies.,Leadership and coordination,That answer changes the point: Project dependencies.,Morale and visible progress,That answer changes the point: Project dependencies.,Correct: Project dependencies.,"The question starts from a concrete detail in Collective action: Individual incentives may not align with group goals. It is really asking which answer handles a similar pressure. Project dependencies is the best connection because it shows that one person’s progress can be another person’s bottleneck; the route is chained, not individual. Both ideas ask alpacas to notice that Groups say “we” easily. The hard part is whether the work, benefit, and risk are actually shared.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_were-all-in-this-to-get-there__276,question.were-all-in-this-to-get-there.300.010,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Which idea gives the clearest comparison to Shared destinations and unequal benefits?,Leadership and coordination,Morale and visible progress,That answer changes the point: Leadership and coordination.,Consensus vs speed,That answer changes the point: Leadership and coordination.,Collective action,That answer changes the point: Leadership and coordination.,Correct: Leadership and coordination.,"The question starts from a concrete detail in Shared destinations and unequal benefits: The same destination may not mean the same thing to everyone. It is really asking which answer handles a similar pressure. Leadership and coordination is the best connection because it converts group movement into a design problem: someone must set direction without pretending direction equals consent. Both ideas ask alpacas to notice that A shared destination can be a slogan. The serious question is who arrives safer, richer, or more recognized.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_were-all-in-this-to-get-there__277,question.were-all-in-this-to-get-there.300.011,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Which idea turns the same pressure behind Morale and visible progress into a different form?,Consensus vs speed,Collective action,That answer changes the point: Consensus vs speed.,Project dependencies,That answer changes the point: Consensus vs speed.,Shared destinations and unequal benefits,That answer changes the point: Consensus vs speed.,Correct: Consensus vs speed.,The question starts from a concrete detail in Morale and visible progress: Morale can collapse when effort feels invisible. It is really asking which answer handles a similar pressure. Consensus vs speed is the best connection because it turns group arrival into a trade-off between fast movement and legitimate movement. Both ideas ask alpacas to notice that Teams often need visible signs of movement before the work itself becomes rewarding.,,,WSC_2026_updated_level_100_200_300_questions.csv
L300_were-all-in-this-to-get-there__278,question.were-all-in-this-to-get-there.300.012,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Which idea gives the clearest comparison for Leadership and coordination?,Morale and visible progress,Consensus vs speed,That answer changes the point: Morale and visible progress.,Collective action,That answer changes the point: Morale and visible progress.,Project dependencies,That answer changes the point: Morale and visible progress.,Correct: Morale and visible progress.,The question starts from a concrete detail in Leadership and coordination: Leadership is not the same as control. It is really asking which answer handles a similar pressure. Morale and visible progress is the best connection because it uses signs of advancement to keep people moving when the real finish is distant or uncertain. Both ideas ask alpacas to notice that Leadership is not just choosing direction. It is making movement legible enough that others can trust the route.,,,WSC_2026_updated_level_100_200_300_questions.csv
L300_were-all-in-this-to-get-there__279,question.were-all-in-this-to-get-there.300.013,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Which idea carries the same logic as Project dependencies?,Morale and visible progress,Consensus vs speed,That answer changes the point: Morale and visible progress.,Collective action,That answer changes the point: Morale and visible progress.,Shared destinations and unequal benefits,That answer changes the point: Morale and visible progress.,Correct: Morale and visible progress.,"The question starts from a concrete detail in Project dependencies: A late dependency can delay the whole project. It is really asking which answer handles a similar pressure. Morale and visible progress is the best connection because it uses signs of advancement to keep people moving when the real finish is distant or uncertain. Both ideas ask alpacas to notice that Modern work often fails at the handoff, not the individual task. Dependency is where hidden delays live.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_were-all-in-this-to-get-there_1_371,question.were-all-in-this-to-get-there.300.001,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Why is Nusantara a strong example of project delay?,"It links construction timelines to politics, budgets, and national priorities",It was a private hotel that ran out of guests before opening,"That answer changes the point: It links construction timelines to politics, budgets, and national priorities.",It was a medieval cathedral rebuilt after a civil war,"That answer changes the point: It links construction timelines to politics, budgets, and national priorities.",It shows how one amusement park became a finished capital city,"That answer changes the point: It links construction timelines to politics, budgets, and national priorities.","Correct: It links construction timelines to politics, budgets, and national priorities.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_2_372,question.were-all-in-this-to-get-there.300.002,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,What changed most from ancient coordination to modern project management?,"The tools became more formal, measurable, and specialized",The need for coordination disappeared completely,"That answer changes the point: The tools became more formal, measurable, and specialized.",Human projects became simple and risk-free,"That answer changes the point: The tools became more formal, measurable, and specialized.",Ancient builders had no methods for organization,"That answer changes the point: The tools became more formal, measurable, and specialized.","Correct: The tools became more formal, measurable, and specialized.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_3_373,question.were-all-in-this-to-get-there.300.003,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Why is Hoover Dam useful in the creative process?,It connects scheduling tools to a real large construction project,It shows that charts matter only in software design,That answer changes the point: It connects scheduling tools to a real large construction project.,It proves ancient builders used modern scheduling apps,That answer changes the point: It connects scheduling tools to a real large construction project.,It replaces the need to understand Gantt charts,That answer changes the point: It connects scheduling tools to a real large construction project.,Correct: It connects scheduling tools to a real large construction project.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_4_374,question.were-all-in-this-to-get-there.300.004,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Why is a risk register useful?,It records possible problems before they become crises,It guarantees that no risk can happen,That answer changes the point: It records possible problems before they become crises.,It replaces scheduling and communication,That answer changes the point: It records possible problems before they become crises.,It is only a list of finished tasks,That answer changes the point: It records possible problems before they become crises.,Correct: It records possible problems before they become crises.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_5_375,question.were-all-in-this-to-get-there.300.005,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,"What do YouTube, Netflix, Amazon, and Slack show in the creative process?",A project can become valuable after changing direction,Every successful company begins as a video game feature,That answer changes the point: A project can become valuable after changing direction.,A business should always abandon its first product,That answer changes the point: A project can become valuable after changing direction.,Pivots work only when companies sell books online,That answer changes the point: A project can become valuable after changing direction.,Correct: A project can become valuable after changing direction.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_6_376,question.were-all-in-this-to-get-there.300.006,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Why can bureaucracy be useful in large organizations?,"It creates predictable rules, roles, and authority",It makes every decision personal and improvised,"That answer changes the point: It creates predictable rules, roles, and authority.",It removes the need for records or hierarchy,"That answer changes the point: It creates predictable rules, roles, and authority.",It guarantees workers always feel free,"That answer changes the point: It creates predictable rules, roles, and authority.","Correct: It creates predictable rules, roles, and authority.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_7_377,question.were-all-in-this-to-get-there.300.007,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,What does Brooks’ Law warn about?,Adding people to a late project can make it later,A larger team always finishes faster,That answer changes the point: Adding people to a late project can make it later.,Understaffing is the only reason for delay,That answer changes the point: Adding people to a late project can make it later.,More communication always removes complexity,That answer changes the point: Adding people to a late project can make it later.,Correct: Adding people to a late project can make it later.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_were-all-in-this-to-get-there_8_378,question.were-all-in-this-to-get-there.300.008,section.guideQuestions,Section Journey,were-all-in-this-to-get-there,,3,300,Why can the Pareto principle be misleading?,People may guess the important 20% without evidence,It has no connection to work or studying,That answer changes the point: People may guess the important 20% without evidence.,It always forces people to overwork,That answer changes the point: People may guess the important 20% without evidence.,It applies only to factories and never to learning,That answer changes the point: People may guess the important 20% without evidence.,Correct: People may guess the important 20% without evidence.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_1_052,question.where-the-sidewalk-starts.100.001,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.001,1,100,What is the basic urban role of a sidewalk?,It gives pedestrians space beside streets and buildings,It replaces the road for cars,That answer changes the point: It gives pedestrians space beside streets and buildings.,It marks only private property lines,That answer changes the point: It gives pedestrians space beside streets and buildings.,It exists mainly as decoration,That answer changes the point: It gives pedestrians space beside streets and buildings.,It gives pedestrians space beside streets and buildings.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_2_083,question.where-the-sidewalk-starts.100.002,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.002,1,100,Where are moving sidewalks most commonly useful today?,Airports and other controlled high-traffic spaces,Quiet residential streets,That answer changes the point: Airports and other controlled high-traffic spaces.,Small private gardens,That answer changes the point: Airports and other controlled high-traffic spaces.,Rural mountain roads,That answer changes the point: Airports and other controlled high-traffic spaces.,Airports and other controlled high-traffic spaces.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_3_079,question.where-the-sidewalk-starts.100.003,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.003,1,100,What does parking mainly store in an urban landscape?,Cars when they are not moving,Public buses during routes,That answer changes the point: Cars when they are not moving.,People waiting for trains,That answer changes the point: Cars when they are not moving.,Road signs between intersections,That answer changes the point: Cars when they are not moving.,Cars when they are not moving.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_4_106,question.where-the-sidewalk-starts.100.004,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.004,1,100,What makes an architectural parking garage different from a basic parking structure?,"Its design adds visual, civic, or cultural meaning to a functional space",It no longer stores cars,"That answer changes the point: Its design adds visual, civic, or cultural meaning to a functional space.",It must become a museum,"That answer changes the point: Its design adds visual, civic, or cultural meaning to a functional space.",It removes all need for streets,"That answer changes the point: Its design adds visual, civic, or cultural meaning to a functional space.","Its design adds visual, civic, or cultural meaning to a functional space.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_5_008,question.where-the-sidewalk-starts.100.005,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.005,1,100,What is a snout house?,A house whose garage projects prominently toward the street,A house built only for car repair,That answer changes the point: A house whose garage projects prominently toward the street.,The entrance is not the point; the garage dominates the front,That answer changes the point: A house whose garage projects prominently toward the street.,"The shape is about the projecting garage, not a tunnel form",That answer changes the point: A house whose garage projects prominently toward the street.,A house whose garage projects prominently toward the street.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_6_012,question.where-the-sidewalk-starts.100.006,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.006,1,100,Who designed Robie House?,Frank Lloyd Wright,Paul Rudolph,That answer changes the point: Frank Lloyd Wright.,Daniel Buren,That answer changes the point: Frank Lloyd Wright.,Henry Grabar,That answer changes the point: Frank Lloyd Wright.,Frank Lloyd Wright.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_where-the-sidewalk-starts_7_100,question.where-the-sidewalk-starts.100.007,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.007,1,100,What is the basic idea behind converting parking into public space?,Turning car-storage land into a place people can gather and use,Making parking lots larger and more permanent,That answer changes the point: Turning car-storage land into a place people can gather and use.,Replacing sidewalks with private garages,That answer changes the point: Turning car-storage land into a place people can gather and use.,Moving all parks underground,That answer changes the point: Turning car-storage land into a place people can gather and use.,Turning car-storage land into a place people can gather and use.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_where-the-sidewalk-starts_1_207,question.where-the-sidewalk-starts.200.001,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.001,2,200,Why are Pompeii’s raised pavements and stepping stones useful for understanding sidewalks?,They show early separation between pedestrians and street traffic,They prove sidewalks began as luxury gardens,That answer changes the point: They show early separation between pedestrians and street traffic.,They show that carts were banned from ancient streets,That answer changes the point: They show early separation between pedestrians and street traffic.,They were built mainly for modern tourism,That answer changes the point: They show early separation between pedestrians and street traffic.,They show early separation between pedestrians and street traffic.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_where-the-sidewalk-starts_2_191,question.where-the-sidewalk-starts.200.002,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.002,2,200,What was important about the 1893 Chicago moving sidewalk?,It was an early real example of movable pedestrian infrastructure,It was the first sidewalk ever built in a city,That answer changes the point: It was an early real example of movable pedestrian infrastructure.,It replaced all walking at the exposition,That answer changes the point: It was an early real example of movable pedestrian infrastructure.,"A real infrastructure experiment, not a fictional device",That answer changes the point: It was an early real example of movable pedestrian infrastructure.,It was an early real example of movable pedestrian infrastructure.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_where-the-sidewalk-starts_3_202,question.where-the-sidewalk-starts.200.003,entry.quizQuestions,Raw Content,where-the-sidewalk-starts,raw.where-the-sidewalk-starts.003,2,200,Why did parking become such a large part of many modern cities?,Car-centered planning created demand for storage near daily destinations,Sidewalks naturally turned into parking lots,That answer changes the point: Car-centered planning created demand for storage near daily destinations.,Most cities were founded mainly for cars,That answer changes the point: Car-centered planning created demand for storage near daily destinations.,Parking lots use no valuable land,That answer changes the point: Car-centered planning created demand for storage near daily destinations.,Car-centered planning created demand for storage near daily destinations.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
